 	Label	Volume	SurfaceArea	Sphericity	EulerNumber	Elli.Center.X	Elli.Center.Y	Elli.Center.Z	Elli.R1	Elli.R2	Elli.R3	Elli.Azim	Elli.Elev	Elli.Roll	Elli.R1/R2	Elli.R1/R3	Elli.R2/R3	InscrBall.Center.X	InscrBall.Center.Y	InscrBall.Center.Z	InscrBall.Radius
2479	2479	4.401	15.203	0.623	1.000	117.106	170.209	637.274	2.174	0.822	0.690	-27.536	47.001	4.476	2.644	3.150	1.191	116.727	169.830	635.234	0.501
2480	2480	1.886	7.484	0.960	1.000	280.863	363.623	636.120	1.128	0.755	0.577	-16.682	55.070	-149.742	1.493	1.956	1.310	280.545	362.705	635.234	0.501
2481	2481	0.251	1.416	2.519	1.000	329.390	509.240	635.735	0.560	0.000	0.000	0.000	-90.000	-90.000	Infinity	Infinity	NaN	329.140	508.989	635.234	0.501
2482	2482	0.126	0.754	4.172	1.000	126.997	115.975	635.986	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	126.746	115.725	635.735	0.501
2483	2483	4.401	15.841	0.551	1.000	488.900	387.875	637.417	2.108	0.867	0.769	33.374	-25.826	-94.086	2.430	2.742	1.128	488.449	387.754	637.238	0.668
2484	2484	0.126	0.754	4.172	1.000	329.891	508.739	635.986	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	329.641	508.488	635.735	0.501
2485	2485	0.126	0.754	4.172	1.000	489.702	388.505	636.988	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	489.451	388.255	636.737	0.501
2486	2486	0.126	0.754	4.172	1.000	562.844	246.730	637.489	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	562.593	246.479	637.238	0.501
2487	2487	0.503	2.594	1.638	1.000	563.595	246.354	638.366	0.732	0.396	0.303	-35.264	26.565	54.736	1.848	2.414	1.307	563.595	245.978	637.739	0.501
2488	2488	0.503	2.594	1.638	1.000	477.052	441.859	638.867	0.732	0.396	0.303	54.736	35.264	-54.736	1.848	2.414	1.307	476.927	441.859	638.240	0.501
2489	2489	0.251	1.416	2.519	1.000	443.111	512.997	638.491	0.560	0.000	0.000	0.000	0.000	-0.000	Infinity	Infinity	NaN	442.861	512.496	638.240	0.501
2490	2490	0.126	0.754	4.172	1.000	506.234	580.378	638.992	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	505.983	580.127	638.741	0.501
2491	2491	0.126	0.754	4.172	1.000	507.236	580.378	638.992	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	506.985	580.127	638.741	0.501
2492	2492	1.886	8.683	0.614	1.000	506.267	580.378	641.129	2.046	0.699	5.084E-13	7.937E-24	74.666	90.000	2.926	4.024E12	1.375E12	506.484	580.127	639.242	0.501
2493	2493	0.251	1.416	2.519	1.000	363.456	327.887	641.246	0.560	0.000	0.000	0.000	-90.000	-90.000	Infinity	Infinity	NaN	363.206	327.637	640.745	0.501
2494	2494	5.155	16.503	0.669	1.000	341.756	247.573	643.391	1.553	1.215	0.776	-70.743	74.593	-156.658	1.278	2.001	1.565	341.163	247.481	643.250	0.668
2495	2495	1.886	7.313	1.029	1.000	648.477	409.179	643.200	0.966	0.825	0.591	-24.646	-47.612	165.793	1.172	1.636	1.396	648.260	408.794	643.250	0.668
2496	2496	3.520	12.484	0.720	1.000	356.389	578.034	644.002	1.695	0.900	0.690	-31.268	-45.460	163.767	1.882	2.457	1.305	356.192	577.623	643.751	0.668
2497	2497	3.772	12.774	0.772	1.000	310.019	400.679	644.870	1.704	0.762	0.753	26.005	-0.803	-77.485	2.237	2.263	1.012	309.602	400.278	644.753	0.668
2498	2498	1.006	4.745	1.071	1.000	368.028	578.875	645.442	0.970	0.767	0.000	0.000	-45.000	90.000	1.265	Infinity	Infinity	367.214	578.625	644.753	0.501
2499	2499	0.126	0.754	4.172	1.000	322.878	261.258	645.504	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	322.627	261.007	645.254	0.501
2500	2500	5.658	17.706	0.652	1.000	328.500	577.573	646.774	1.900	1.322	0.520	30.369	80.407	-63.841	1.437	3.657	2.545	327.637	577.122	645.254	0.501
2501	2501	0.126	0.754	4.172	1.000	414.055	579.877	645.504	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	413.804	579.627	645.254	0.501
2502	2502	1.760	7.659	0.780	1.000	246.121	573.006	646.685	1.275	0.875	0.397	10.455	64.438	-56.695	1.458	3.209	2.202	245.978	572.613	645.755	0.501
2503	2503	1.760	6.757	1.136	1.000	185.253	325.991	647.222	1.009	0.675	0.614	33.895	-13.593	-98.456	1.494	1.643	1.100	184.859	325.633	646.757	0.668
2504	2504	0.126	0.754	4.172	1.000	499.721	434.094	647.007	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	499.471	433.843	646.757	0.501
2505	2505	0.126	0.754	4.172	1.000	499.721	434.595	647.508	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	499.471	434.344	647.258	0.501
2506	2506	0.126	0.754	4.172	1.000	251.238	229.195	648.510	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	250.988	228.945	648.260	0.501
2507	2507	0.377	2.026	1.936	1.000	224.186	313.693	648.677	0.647	0.373	0.000	-90.000	35.264	90.000	1.732	Infinity	Infinity	223.935	313.109	648.260	0.501
2508	2508	0.251	1.416	2.519	1.000	196.632	283.301	649.262	0.560	0.000	0.000	0.000	-90.000	-90.000	Infinity	Infinity	NaN	196.382	283.050	648.761	0.501
2509	2509	0.126	0.754	4.172	1.000	122.989	554.828	649.011	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	122.739	554.578	648.761	0.501
2510	2510	0.126	0.754	4.172	1.000	589.395	237.712	649.512	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	589.145	237.462	649.262	0.501
2511	2511	0.126	0.754	4.172	1.000	377.985	437.600	649.512	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	377.734	437.350	649.262	0.501
2512	2512	0.377	2.026	1.936	1.000	123.323	554.494	649.512	0.647	0.373	0.000	45.000	-0.000	-0.000	1.732	Infinity	Infinity	122.739	554.077	649.262	0.501
2513	2513	0.251	1.416	2.519	1.000	266.768	404.536	650.264	0.560	0.000	0.000	0.000	-90.000	-90.000	Infinity	Infinity	NaN	266.518	404.286	649.763	0.501
2514	2514	0.126	0.754	4.172	1.000	663.540	449.123	650.013	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	663.289	448.872	649.763	0.501
2515	2515	0.126	0.754	4.172	1.000	122.989	553.826	650.013	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	122.739	553.576	649.763	0.501
2516	2516	0.126	0.754	4.172	1.000	123.991	553.826	650.013	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	123.740	553.576	649.763	0.501
2517	2517	1.132	5.362	0.939	1.000	123.156	554.439	650.403	1.255	0.570	0.455	-24.617	-26.005	-171.169	2.203	2.755	1.250	122.238	554.077	649.763	0.501
2518	2518	0.629	3.151	1.428	1.000	163.468	192.324	651.015	0.824	0.501	0.272	78.137	54.577	-44.346	1.644	3.023	1.839	163.317	192.374	650.264	0.501
2519	2519	1.132	5.499	0.871	1.000	211.272	255.747	650.959	1.294	0.787	6.355E-14	2.250E-25	14.036	90.000	1.643	2.035E13	1.239E13	210.409	255.497	650.264	0.501
