Results from ivolResults.py
===========================
Output database:                        odb      = open-frame-fatigue-v25mm-9pct.odb
Crimping (prestrain) output database:   oldOdb   = open-frame-fatigue-v25mm-9pct.odb
Number of integration points:           nRows    = 9928
Total volume:                           vTotal   = 11.021
Maximum mean strain:                    cycEMmax = 0.0403436
Maximum strain amplitude (abs):         cycEAmax = 0.00782284
-----------------------------------------------------------------------------------------------
el     = element number
ip     = integration point
cycEM  = maximum principal cyclic mean strain
cycEA  = absolute maximum principal cyclic strain amplitude
cycTau = cyclic maximum shear strain
cycSM  = maximum principal cyclic mean stress
cycSA  = absolute maximum principal cyclic stress amplitude
preE   = pre-strain (strain conditioning, e.g. strain during crimping)
preS   = pre-stress (stress conditioning, e.g. stress during crimping)
preP   = hydrostatic pressure during pre-conditioning (compression positive, tension negative)
preM   = volume fraction martensite during pre-conditioning
preV   = integration point volume during pre-conditioning
ldE    = maximum principal strain during loading frame of fatigue cycle
ldTau  = maximum shear strain during loading frame of fatigue cycle
ldS    = maximum principal stress during loading frame of fatigue cycle
ldP    = hydrostatic pressure during loading frame of fatigue cycle
ldM    = volume fraction martensite during loading frame of fatigue cycle
ldV    = integration point volume during loading frame of fatigue cycle
ulE    = maximum principal strain during unloading frame of fatigue cycle
ulTau  = maximum shear strain during unloading frame of fatigue cycle
ulS    = maximum principal stress during unloading frame of fatigue cycle
ulP    = hydrostatic pressure during unloading frame of fatigue cycle
ulM    = volume fraction martensite during unloading frame of fatigue cycle
ulV    = integration point volume during unloading frame of fatigue cycle
ldS11  = loading stress in material 1 direction (r)
ldS22  = loading stress in material 2 direction (theta)
ldS33  = loading stress in material 3 direction (Z)
ulS11  = unloading stress in material 1 direction (r)
ulS22  = unloading stress in material 2 direction (theta)
ulS33  = unloading stress in material 3 direction (Z)
ldE11  = loading strain in material 1 direction (r)
ldE22  = loading strain in material 2 direction (theta)
ldE33  = loading strain in material 3 direction (Z)
ulE11  = unloading strain in material 1 direction (r)
ulE22  = unloading strain in material 2 direction (theta)
ulE33  = unloading strain in material 3 direction (Z)
-----------------------------------------------------------------------------------------------
el, ip, cycEM, cycEA, cycTau, cycSM, cycSA, preE, preS, preP, preM, preV, ldE, ldTau, ldS, ldP, ldM, ldV, ulE,ulTau, ulS, ulP, ulM, ulV,ldS11, ldS22, ldS33, ulS11, ulS22, ulS33,ldE11, ldE22, ldE33, ulE11, ulE22, ulE33
49, 1,0.00251648, 0.000798807, 0.000533415, 157.733, 50.4195, 0.00573301, 358.799, -117.999, 0, 0.00093115, 0.00331228, 0.0022052, 207.838, -69.0403, 0, 0.000930411, 0.00172348, 0.00114811, 107.924, -35.8341, 0, 0.00092991, -0.0226117, 19.6868, 187.457, -0.151152, 14.7608, 92.8926, -0.00108841, -0.000727576, 0.00293629, -0.000568208, -0.000568208, -0.000568208
50, 1,0.00297447, 0.000921461, 0.000615167, 186.696, 58.1634, 0.00610665, 381.874, -125.268, 0, 0.000963306, 0.00389168, 0.00258877, 244.469, -81.5037, 0, 0.000962623, 0.00206107, 0.00137239, 129.277, -43.1235, 0, 0.000962023, 0.173227, 26.4919, 217.846, 0.00354596, 19.6945, 109.673, -0.00128047, -0.000787321, 0.00339031, -0.000679641, -0.000679641, -0.000679641
51, 1,0.00342911, 0.00104136, 0.000695051, 215.024, 65.7007, 0.00648024, 405.357, -133.087, 0, 0.000995465, 0.00446515, 0.00297426, 280.267, -93.2141, 0, 0.000994821, 0.00239769, 0.00159966, 150.184, -49.8685, 0, 0.000994122, -0.565651, 31.0233, 249.185, -0.596566, 23.1596, 127.043, -0.00148015, -0.000881159, 0.00387385, -0.000798196, -0.000798196, -0.000798196
52, 1,0.00386222, 0.00115784, 0.000773071, 242.861, 72.9979, 0.00690872, 432.057, -141.745, 0, 0.00102764, 0.00501431, 0.00334072, 315.369, -105.559, 0, 0.00102704, 0.00271506, 0.00181058, 170.778, -57.4705, 0, 0.00102624, 0.993475, 32.1635, 283.519, 1.06138, 24.6399, 146.71, -0.00164166, -0.00105417, 0.00440868, -0.000882935, -0.000882935, -0.000882935
53, 1,0.00213276, 0.000687739, 0.000459757, 133.61, 43.399, 0.00491455, 308.276, -102.09, 0, 0.000927638, 0.00281798, 0.00187926, 176.739, -58.6595, 0, 0.000926985, 0.00144991, 0.000967686, 90.7403, -30.1263, 0, 0.000926556, 0.17646, 15.8709, 159.931, 0.0473038, 11.9864, 78.3452, -0.000920663, -0.000637417, 0.00250993, -0.000474061, -0.000474061, -0.000474061
54, 1,0.00256073, 0.000800523, 0.000534765, 160.593, 50.5309, 0.00531619, 333.167, -110.027, 0, 0.000959724, 0.00335754, 0.00223567, 210.779, -70.1312, 0, 0.000959103, 0.00176731, 0.00117887, 110.726, -36.8214, 0, 0.000958584, -0.00479907, 22.3069, 188.092, -0.166542, 16.6358, 93.9949, -0.00110512, -0.00068915, 0.00293226, -0.000583975, -0.000583975, -0.000583975
55, 1,0.00299057, 0.00091227, 0.000609173, 187.674, 57.5557, 0.00571427, 358.315, -118.536, 0, 0.000991813, 0.00389806, 0.00259782, 244.815, -81.5341, 0, 0.000991218, 0.00208726, 0.00139344, 130.9, -43.6055, 0, 0.000990608, -0.164018, 26.9253, 217.841, -0.181143, 20.2796, 110.718, -0.00128775, -0.000776197, 0.00338696, -0.000690808, -0.000690808, -0.000690808
56, 1,0.00341679, 0.00102204, 0.000682976, 213.97, 64.4241, 0.00614201, 385.697, -128.17, 0, 0.00102393, 0.00443354, 0.00295729, 277.943, -92.0668, 0, 0.00102333, 0.00240453, 0.001606, 150.384, -49.6948, 0, 0.00102263, -0.680652, 26.6256, 250.255, -0.608673, 20.4462, 129.247, -0.00146457, -0.000950505, 0.00390898, -0.00079577, -0.00079577, -0.00079577
57, 1,0.00175361, 0.000576719, 0.00038614, 109.661, 36.3786, 0.00415313, 260.355, -86.0532, 0, 0.000924125, 0.00232843, 0.001556, 145.824, -48.234, 0, 0.000923558, 0.00118063, 0.000790024, 73.7134, -24.3738, 0, 0.0009232, 0.108026, 11.7605, 132.833, -0.0155204, 8.97806, 64.1588, -0.000757875, -0.0005525, 0.00209306, -0.000384742, -0.000384742, -0.000384742
58, 1,0.00215029, 0.000679677, 0.000454451, 134.787, 42.8977, 0.00453092, 284.337, -94.2896, 0, 0.000956134, 0.00282684, 0.00188427, 177.39, -58.9647, 0, 0.000955586, 0.00147664, 0.00098643, 92.4596, -30.725, 0, 0.000955149, 0.0381981, 17.9521, 158.904, -0.106728, 13.4762, 78.8055, -0.000928321, -0.000597281, 0.0024824, -0.000486666, -0.000486666, -0.000486666
59, 1,0.00255338, 0.000783073, 0.00052325, 160.034, 49.3959, 0.00491225, 308.408, -102.418, 0, 0.000988138, 0.00333225, 0.00222364, 209.065, -69.4088, 0, 0.000987609, 0.00177824, 0.00118964, 111.33, -36.9038, 0, 0.000987088, -0.443062, 22.1711, 186.498, -0.441009, 16.8092, 94.3434, -0.00110268, -0.000677391, 0.00290633, -0.00059074, -0.00059074, -0.00059074
60, 1,0.00295641, 0.000885784, 0.000592526, 185.192, 55.8146, 0.00531716, 333.517, -110.446, 0, 0.00102015, 0.00383758, 0.00256318, 240.611, -79.7321, 0, 0.00101964, 0.00207916, 0.00139083, 130.114, -43.0938, 0, 0.00101903, -0.331439, 22.0006, 217.527, -0.245058, 17.1797, 112.347, -0.00126286, -0.000845476, 0.0034021, -0.000684053, -0.000684053, -0.000684053
61, 1,0.00137725, 0.000465794, 0.000312667, 85.878, 29.3577, 0.00342108, 214.28, -70.6306, 0, 0.000920617, 0.00184184, 0.00123559, 115.081, -37.8577, 0, 0.000920127, 0.000913893, 0.000614623, 56.8361, -18.6766, 0, 0.000919841, 0.0999292, 7.42933, 106.044, -0.0155418, 5.80282, 50.2426, -0.000594574, -0.000472543, 0.00168143, -0.000294958, -0.000294958, -0.000294958
62, 1,0.00174072, 0.000558886, 0.00037422, 108.947, 35.2631, 0.00375812, 235.749, -78.082, 0, 0.000952532, 0.0022971, 0.00153385, 143.971, -47.7052, 0, 0.000952062, 0.00118671, 0.000794888, 74.1526, -24.5365, 0, 0.000951705, -0.0660945, 13.2802, 129.902, -0.191564, 10.0534, 63.7477, -0.000753155, -0.000510178, 0.00203743, -0.000390945, -0.000390945, -0.000390945
63, 1,0.00211701, 0.000653874, 0.0004373, 132.572, 41.2304, 0.00410301, 257.468, -85.365, 0, 0.000984444, 0.00276732, 0.00184979, 173.493, -57.478, 0, 0.000983999, 0.00146988, 0.000985789, 91.9303, -30.3989, 0, 0.000983567, -0.427902, 17.2825, 155.579, -0.402376, 13.2577, 78.3414, -0.000914403, -0.000583935, 0.002431, -0.000487419, -0.000487419, -0.000487419
64, 1,0.00249923, 0.000749662, 0.000502268, 156.3, 47.2029, 0.00446834, 280.083, -92.5578, 0, 0.00101636, 0.00324495, 0.0021724, 203.165, -67.0378, 0, 0.00101593, 0.00175688, 0.0011786, 109.728, -36.1411, 0, 0.00101543, -0.469749, 16.7377, 184.845, -0.368156, 13.3527, 95.4386, -0.00106579, -0.000747569, 0.00290114, -0.000577084, -0.000577084, -0.000577084
65, 1,0.0010051, 0.000355245, 0.000239644, 62.2546, 22.3489, 0.00270558, 169.096, -55.3548, 0, 0.000917114, 0.00135983, 0.000919838, 84.5166, -27.4547, 0, 0.000916699, 0.000650938, 0.000442952, 40.0896, -12.9616, 0, 0.000916483, 0.0559988, 2.8909, 79.4173, -0.0499073, 2.4619, 36.4728, -0.000431604, -0.000396103, 0.00127321, -0.000205609, -0.000205609, -0.000205609
66, 1,0.00133327, 0.000438274, 0.000294177, 83.238, 27.6332, 0.00299006, 187.376, -61.8612, 0, 0.000948932, 0.00176969, 0.00118564, 110.692, -36.4939, 0, 0.000948542, 0.000898681, 0.000605009, 55.9616, -18.3972, 0, 0.000948263, -0.105993, 8.42539, 101.162, -0.211239, 6.49165, 48.9112, -0.000577366, -0.000427199, 0.00159674, -0.000294603, -0.000294603, -0.000294603
67, 1,0.00168286, 0.000524862, 0.000351516, 105.171, 33.0697, 0.00329132, 206.362, -68.2466, 0, 0.000980745, 0.00220483, 0.00147838, 137.992, -45.4898, 0, 0.000980383, 0.00116351, 0.00078394, 72.5802, -23.8374, 0, 0.000980038, -0.511984, 12.1163, 124.865, -0.462681, 9.47684, 62.498, -0.000727314, -0.000494879, 0.00196033, -0.000385286, -0.000385286, -0.000385286
68, 1,0.00204284, 0.000613772, 0.000412293, 127.5, 38.5963, 0.00362045, 226.554, -74.4817, 0, 0.00101256, 0.00265342, 0.00178302, 165.821, -54.4117, 0, 0.00101223, 0.00143499, 0.000966979, 89.4171, -29.2626, 0, 0.00101182, -0.492278, 11.3196, 152.408, -0.374622, 9.41184, 78.7506, -0.000867345, -0.000653445, 0.00240369, -0.000468812, -0.000468812, -0.000468812
69, 1,0.00064448, 0.000246022, 0.000168019, 39.1131, 15.3971, 0.00200101, 124.456, -40.11, 0, 0.000913613, 0.00089031, 0.000616873, 54.4888, -17.0423, 0, 0.000913271, 0.000398887, 0.000282319, 23.7648, -7.2471, 0, 0.000913126, 0.0240111, -1.79852, 52.9015, -0.0711233, -0.998149, 22.8106, -0.000268226, -0.000322301, 0.000867078, -0.000115987, -0.000115987, -0.000115987
70, 1,0.000930559, 0.000318231, 0.000214705, 57.7298, 20.0273, 0.00222748, 139.246, -45.6176, 0, 0.000945331, 0.00124749, 0.000842591, 77.6391, -25.2736, 0, 0.000945019, 0.000615004, 0.000419403, 37.9463, -12.2505, 0, 0.000944819, -0.166419, 3.39595, 72.5914, -0.251956, 2.79003, 34.2134, -0.000401863, -0.000347357, 0.00115933, -0.000198582, -0.000198582, -0.000198582
71, 1,0.00125262, 0.000396374, 0.000266221, 77.9702, 24.9311, 0.00248335, 155.391, -51.0709, 0, 0.000977045, 0.00164674, 0.00111131, 102.713, -33.5252, 0, 0.000976767, 0.000860584, 0.000585423, 53.405, -17.2992, 0, 0.00097651, -0.56971, 6.78611, 94.3591, -0.497896, 5.56817, 46.8273, -0.000540029, -0.000409214, 0.00149324, -0.000282983, -0.000282983, -0.000282983
72, 1,0.00159053, 0.000478688, 0.000323177, 98.8752, 30.023, 0.00277899, 173.334, -56.415, 0, 0.00100877, 0.00206681, 0.0013987, 128.69, -41.7522, 0, 0.00100853, 0.00111632, 0.000758634, 69.2417, -22.3562, 0, 0.00100821, -0.552625, 5.68355, 120.126, -0.418449, 5.29126, 62.1959, -0.000669168, -0.000562905, 0.00190956, -0.000360886, -0.000360886, -0.000360886
73, 1,0.00033057, 0.00014181, 0.00010147, 18.0211, 8.67739, 0.0013179, 80.7916, -24.8054, 0, 0.00091011, 0.000469642, 0.000363051, 26.6308, -6.60683, 0, 0.000909841, 0.000194756, 0.000169738, 9.50511, -1.51991, 0, 0.000909766, -0.0162442, -6.60078, 26.4375, -0.0996288, -4.54856, 9.20791, -0.000104656, -0.000250197, 0.000462073, -2.63157E-05, -2.63157E-05, -2.63157E-05
74, 1,0.000542564, 0.000200064, 0.00013708, 32.8742, 12.5082, 0.0014773, 91.6872, -29.3509, 0, 0.000941722, 0.000741246, 0.000515514, 45.3057, -14.0594, 0, 0.000941489, 0.000345493, 0.00024792, 20.5372, -6.11138, 0, 0.000941367, -0.218872, -1.74791, 44.1451, -0.28595, -1.00171, 19.6218, -0.000226282, -0.000269709, 0.000724134, -0.000102535, -0.000102535, -0.000102535
75, 1,0.000832387, 0.000269381, 0.000182401, 51.2342, 16.8618, 0.0016862, 104.928, -33.8914, 0, 0.000973345, 0.00109997, 0.000755555, 67.9621, -21.5603, 0, 0.00097315, 0.000566547, 0.000395769, 34.6384, -10.7607, 0, 0.000972979, -0.632799, 1.31986, 63.9939, -0.540449, 1.54993, 31.2726, -0.000352852, -0.000326085, 0.00102879, -0.000180826, -0.000180826, -0.000180826
76, 1,0.00114737, 0.000345661, 0.000236177, 70.6892, 21.5441, 0.00195454, 120.917, -38.348, 0, 0.00100496, 0.0014914, 0.00102571, 92.0914, -29.0916, 0, 0.00100481, 0.000804757, 0.000557442, 49.4104, -15.4538, 0, 0.00100459, -0.603742, -0.08618, 87.9647, -0.453148, 1.06245, 45.7522, -0.000470775, -0.00047481, 0.00141763, -0.000252827, -0.000252827, -0.000252827
77, 1,0.00019976, 6.39277E-05, 6.13064E-05, 5.78433, 3.19997, 0.000714649, 40.8505, -9.4135, 0, 0.0009066, 0.000258781, 0.000319382, 8.76863, 3.84977, 0, 0.000906405, 0.000143487, 0.000210198, 2.93683, 4.21781, 0, 0.0009064, -0.0566171, -11.4686, -0.0240749, -0.127487, -8.15154, -4.37442, 5.92448E-05, -0.000178917, 5.72178E-05, 6.35358E-05, 6.35358E-05, 6.35358E-05
78, 1,0.000232327, 9.11433E-05, 6.86335E-05, 11.6008, 5.42755, 0.000774831, 46.3679, -13.0512, 0, 0.000938117, 0.000318343, 0.000271823, 16.813, -2.84395, 0, 0.000937962, 0.000151038, 0.000151488, 6.62135, 0.0272002, 0, 0.000937918, -0.270524, -6.96287, 15.7653, -0.320712, -4.85025, 5.08936, -5.06627E-05, -0.000193327, 0.000290145, -6.51053E-06, -6.51053E-06, -6.51053E-06
79, 1,0.00044759, 0.00014792, 0.000104157, 26.1599, 9.05555, 0.000927279, 56.2718, -16.708, 0, 0.00096964, 0.000593387, 0.000439983, 35.0992, -9.60232, 0, 0.000969528, 0.000303861, 0.000237439, 17.3398, -4.22889, 0, 0.000969444, -0.688524, -4.22502, 33.7205, -0.577992, -2.53134, 15.796, -0.000165625, -0.000244504, 0.000565943, -7.86688E-05, -7.86688E-05, -7.86688E-05
80, 1,0.000729785, 0.000218684, 0.000155293, 43.7175, 13.3515, 0.00117996, 70.8715, -20.3039, 0, 0.00100116, 0.000947481, 0.000684363, 56.9857, -16.4205, 0, 0.00100109, 0.000512944, 0.000376063, 30.5218, -8.5464, 0, 0.00100097, -0.657464, -5.94567, 55.8648, -0.490546, -3.24129, 29.371, -0.000272272, -0.000388208, 0.000926923, -0.000144745, -0.000144745, -0.000144745
81, 1,0.000255209, -0.000128674, 9.35244E-05, 2.58893, -7.74558, 0.000418607, 15.3369, 6.07794, 0, 0.000903091, 0.000313464, 0.000541618, 3.75741, 14.33, 0, 0.00090297, 0.000197087, 0.000355719, 1.43355, 9.96842, 0, 0.000903034, -0.0992341, -16.3574, -26.5335, -0.156816, -11.7718, -17.9767, 0.000223472, -0.000107578, -0.000348406, 0.000153559, 0.000153559, 0.000153559
82, 1,0.000190914, -8.08536E-05, 6.29648E-05, 3.3419, -4.67563, 0.000347937, 14.0478, 3.28305, 0, 0.000934513, 0.000235007, 0.000367771, 4.62067, 8.37217, 0, 0.000934435, 0.000147737, 0.000246217, 2.13696, 6.16446, 0, 0.000934469, -0.31755, -12.1987, -12.6003, -0.35256, -8.71558, -9.42525, 0.000125065, -0.000117264, -0.000143643, 8.9554E-05, 8.9554E-05, 8.9554E-05
83, 1,0.00022531, 6.08714E-05, 6.04387E-05, 8.81212, 2.89293, 0.000387602, 17.9846, 0.468162, 0, 0.000965933, 0.000284604, 0.000322249, 11.6162, 2.35229, 0, 0.000965904, 0.000167349, 0.000205279, 6.08931, 2.29939, 0, 0.000965904, -0.738944, -9.79921, 3.48127, -0.612784, -6.63715, 0.351762, 2.16605E-05, -0.000163486, 0.00010366, 2.34913E-05, 2.34913E-05, 2.34913E-05
84, 1,0.000401064, 0.000114975, 9.77478E-05, 20.9672, 6.27137, 0.000601278, 30.1038, -2.29026, 0, 0.000997356, 0.000515327, 0.000454954, 27.1828, -3.74011, 0, 0.000997379, 0.000287399, 0.00026103, 14.798, -1.6354, 0, 0.000997345, -0.709726, -11.838, 23.768, -0.526625, -7.57457, 13.0074, -7.35899E-05, -0.000302032, 0.000436309, -3.65797E-05, -3.65797E-05, -3.65797E-05
85, 1,0.000359997, -0.00023229, 0.000159305, 1.57794, -14.4437, 0.000491612, 7.15277, 21.6716, 0, 0.000899579, 0.00044542, 0.000841505, 2.27726, 24.8342, 0, 0.000899533, 0.000275183, 0.000525944, 0.930942, 15.7323, 0, 0.000899666, -0.142817, -21.2208, -53.1391, -0.186481, -15.3724, -31.6379, 0.000388056, -3.53008E-05, -0.000755714, 0.000243784, 0.000243784, 0.000243784
86, 1,0.000289919, -0.000187273, 0.000128968, 1.6612, -11.6313, 0.000420027, 5.25202, 19.6504, 0, 0.000930902, 0.000359343, 0.000671479, 2.25337, 19.5906, 0, 0.000930902, 0.000221585, 0.000418116, 1.16948, 12.3019, 0, 0.000931013, -0.359937, -17.4067, -41.0051, -0.381723, -12.5593, -23.9648, 0.000300926, -4.05732E-05, -0.000578229, 0.000185677, 0.000185677, 0.000185677
87, 1,0.000257731, -0.000151086, 0.000108083, 3.54887, -9.24247, 0.000402811, 5.91981, 17.633, 0, 0.000962217, 0.000321176, 0.000549923, 4.51917, 14.3043, 0, 0.000962269, 0.000195582, 0.000337866, 2.67161, 8.82465, 0, 0.000962354, -0.782348, -15.3499, -26.7806, -0.643255, -10.7257, -15.105, 0.000209052, -8.20182E-05, -0.000359136, 0.000125693, 0.000125693, 0.000125693
88, 1,0.000297074, -0.000139398, 0.000110396, 8.8087, -8.02205, 0.000496891, 11.7907, 15.6872, 0, 0.000993545, 0.000376987, 0.000519553, 11.2416, 8.95174, 0, 0.000993653, 0.000218281, 0.00030252, 6.45983, 5.28104, 0, 0.000993712, -0.761005, -17.7087, -8.38547, -0.562021, -11.8947, -3.38645, 0.000125291, -0.00021522, -5.53256E-05, 7.16846E-05, 7.16846E-05, 7.16846E-05
89, 1,0.000478058, -0.000342736, 0.000231833, 1.12011, -21.4749, 0.000682471, 4.47343, 37.3685, 0, 0.000896086, 0.000596909, 0.00116131, 1.64518, 35.3632, 0, 0.000896116, 0.000360581, 0.000703692, 0.705231, 21.5102, 0, 0.000896317, -0.187224, -26.0132, -79.8891, -0.216464, -18.9171, -45.3971, 0.000553012, 3.87851E-05, -0.0011656, 0.000334222, 0.000334222, 0.000334222
90, 1,0.000413878, -0.000305533, 0.00020671, 1.07757, -19.1577, 0.000632433, 3.07625, 36.0468, 0, 0.000927307, 0.000519276, 0.0010109, 1.49351, 30.8121, 0, 0.000927386, 0.000310301, 0.00060492, 0.819887, 18.4404, 0, 0.000927572, -0.396352, -22.5376, -69.5023, -0.407245, -16.3423, -38.5716, 0.000476961, 3.76888E-05, -0.00101461, 0.000281891, 0.000281891, 0.000281891
91, 1,0.000371315, -0.000273432, 0.000186929, 2.05651, -17.0907, 0.000616396, 3.24684, 34.781, 0, 0.000958512, 0.000469032, 0.000888948, 2.63277, 26.2553, 0, 0.000958645, 0.000275602, 0.000522242, 1.62679, 15.3483, 0, 0.000958814, -0.818653, -20.8253, -57.122, -0.669405, -14.756, -30.6194, 0.000396576, 9.09747E-07, -0.000823511, 0.000227958, 0.000227958, 0.000227958
92, 1,0.000365, -0.000254451, 0.000179159, 4.70101, -15.6538, 0.000666362, 6.45005, 33.6292, 0, 0.000989737, 0.000466252, 0.000811983, 5.99559, 21.6569, 0, 0.000989929, 0.000265755, 0.000460718, 3.55757, 12.2043, 0, 0.000990081, -0.810752, -23.5029, -40.657, -0.59617, -16.158, -19.8587, 0.000324412, -0.000126697, -0.000549128, 0.00018008, 0.00018008, 0.00018008
93, 1,0.000601487, -0.000455379, 0.000306464, 0.877981, -28.614, 0.000906232, 3.28111, 53.1665, 0, 0.0008926, 0.000755905, 0.00148902, 1.3271, 45.9154, 0, 0.000892705, 0.000449178, 0.000884865, 0.596219, 27.3018, 0, 0.000892975, -0.230366, -30.6874, -106.828, -0.245442, -22.3684, -59.2916, 0.00071836, 0.000115552, -0.00157894, 0.000424895, 0.000424895, 0.000424895
94, 1,0.000544969, -0.000426238, 0.000286792, 0.80177, -26.8011, 0.000873061, 2.22617, 52.461, 0, 0.000923704, 0.000688755, 0.00136, 1.15715, 42.0382, 0, 0.00092386, 0.000403707, 0.000796471, 0.660449, 24.5811, 0, 0.000924122, -0.426389, -27.5428, -98.1454, -0.429012, -20.0261, -53.2882, 0.000653201, 0.000118464, -0.00145379, 0.000378217, 0.000378217, 0.000378217
95, 1,0.000503732, -0.000401058, 0.00027102, 1.42842, -25.1905, 0.000865085, 2.25711, 51.8992, 0, 0.000954797, 0.000641169, 0.00125233, 1.87323, 38.2066, 0, 0.000955009, 0.00036893, 0.000719916, 1.17839, 21.8713, 0, 0.000955262, -0.847493, -26.1726, -87.5997, -0.690959, -18.6863, -46.2365, 0.00058426, 8.63116E-05, -0.00129052, 0.000330308, 0.000330308, 0.000330308
96, 1,0.000486264, -0.000385011, 0.000263375, 3.08961, -24.0265, 0.000904717, 4.39123, 51.5331, 0, 0.000985916, 0.000624486, 0.00117363, 3.98965, 34.3773, 0, 0.000986191, 0.000350787, 0.000656604, 2.39983, 19.1359, 0, 0.000986435, -0.85886, -29.1651, -73.1079, -0.629057, -20.321, -36.4576, 0.000523805, -3.538E-05, -0.00104624, 0.00028863, 0.00028863, 0.00028863
97, 1,0.000727836, -0.000569076, 0.000382053, 0.74709, -35.8054, 0.00114374, 2.66508, 69.0675, 0, 0.000889128, 0.000918823, 0.00182106, 1.1638, 56.4936, 0, 0.000889309, 0.000539625, 0.00106814, 0.551066, 33.1093, 0, 0.000889647, -0.27314, -35.1985, -134.009, -0.273961, -25.6909, -73.363, 0.000884122, 0.000195893, -0.0019967, 0.000515824, 0.000515824, 0.000515824
98, 1,0.000679161, -0.000547838, 0.000367689, 0.658864, -34.4861, 0.0011237, 1.85698, 68.8672, 0, 0.000920106, 0.000862239, 0.00171324, 0.996143, 53.2695, 0, 0.000920339, 0.000499252, 0.000990238, 0.587409, 30.7246, 0, 0.000920676, -0.449981, -32.373, -126.986, -0.446836, -23.5715, -68.1556, 0.000829657, 0.000202692, -0.00189672, 0.000474668, 0.000474668, 0.000474668
99, 1,0.000642862, -0.000530282, 0.000356688, 1.10602, -33.3648, 0.00112385, 1.79115, 68.9548, 0, 0.000951092, 0.000821668, 0.00162415, 1.49992, 50.1587, 0, 0.000951382, 0.000467313, 0.000922618, 0.952529, 28.3941, 0, 0.000951718, -0.868696, -31.3392, -118.268, -0.707826, -22.4748, -61.9996, 0.000772116, 0.00017519, -0.0017612, 0.00043275, 0.00043275, 0.00043275
100, 1,0.000625068, -0.000520262, 0.000352229, 2.29527, -32.6234, 0.00116435, 3.37232, 69.3899, 0, 0.000982093, 0.00080494, 0.00155778, 3.02153, 47.1145, 0, 0.000982448, 0.000448603, 0.000865419, 1.83295, 26.0769, 0, 0.000982783, -0.90416, -34.6408, -105.799, -0.65963, -24.3402, -53.231, 0.000723519, 5.97823E-05, -0.0015478, 0.000397375, 0.000397375, 0.000397375
101, 1,0.000856158, -0.000683436, 0.000458202, 0.684145, -43.0299, 0.00138953, 2.36789, 85.0684, 0, 0.000885636, 0.0010843, 0.00215616, 1.09133, 67.1037, 0, 0.000885895, 0.000631385, 0.00125306, 0.546172, 38.9375, 0, 0.0008863, -0.315762, -39.5049, -161.491, -0.302068, -28.8522, -87.6581, 0.00105039, 0.0002807, -0.00241993, 0.000607083, 0.000607083, 0.000607083
102, 1,0.000815074, -0.00066987, 0.00044896, 0.589337, -42.1896, 0.00138106, 1.8647, 85.1934, 0, 0.000916506, 0.00103789, 0.00206882, 0.928819, 64.5069, 0, 0.000916813, 0.000595995, 0.00118531, 0.563096, 36.8723, 0, 0.000917224, -0.466215, -36.9807, -156.074, -0.460362, -26.9415, -83.2152, 0.00100636, 0.000291282, -0.00234435, 0.00057127, 0.00057127, 0.00057127
103, 1,0.00078518, -0.000660188, 0.000443025, 0.928735, -41.569, 0.00138579, 1.59471, 85.8492, 0, 0.000947381, 0.00100606, 0.00199995, 1.30692, 62.1106, 0, 0.000947746, 0.000568181, 0.0011278, 0.835644, 34.9159, 0, 0.000948164, -0.878697, -36.2721, -149.181, -0.71698, -26.0793, -77.9513, 0.000960207, 0.000268507, -0.00223654, 0.00053534, 0.00053534, 0.00053534
104, 1,0.000771549, -0.000657495, 0.00044301, 1.85277, -41.3146, 0.00143214, 2.82339, 87.1324, 0, 0.000978261, 0.00099501, 0.00195182, 2.49445, 59.8703, 0, 0.000978693, 0.000552116, 0.00108008, 1.52479, 33.0288, 0, 0.00097912, -0.947596, -39.8754, -138.788, -0.689059, -28.172, -70.2253, 0.000923565, 0.00015983, -0.00205487, 0.000506313, 0.000506313, 0.000506313
105, 1,0.000986116, -0.000798278, 0.000534731, 0.673147, -50.2781, 0.00164302, 2.38113, 101.142, 0, 0.000882149, 0.00125181, 0.00249392, 1.08434, 77.7485, 0, 0.000882484, 0.00072431, 0.00143958, 0.574454, 44.7896, 0, 0.000882956, -0.3512, -43.5615, -189.333, -0.32413, -31.8184, -102.226, 0.00121734, 0.000370893, -0.00284981, 0.000698835, 0.000698835, 0.000698835
106, 1,0.0009522, -0.000792155, 0.000530433, 0.577722, -49.9019, 0.00165214, 2.68126, 101.302, 0, 0.000912912, 0.00121502, 0.00242612, 0.931024, 75.7432, 0, 0.00091329, 0.000693595, 0.00138143, 0.579822, 43.018, 0, 0.000913775, -0.457118, -41.3101, -185.462, -0.45374, -30.0918, -98.5084, 0.00118357, 0.000385183, -0.0027978, 0.000668257, 0.000668257, 0.000668257
107, 1,0.000929308, -0.00079044, 0.000529694, 0.839539, -49.7858, 0.0016589, 2.18424, 102.392, 0, 0.000943671, 0.00119264, 0.00237803, 1.22097, 74.0568, 0, 0.000944105, 0.00067045, 0.0013344, 0.787163, 41.4319, 0, 0.000944605, -0.869272, -40.9141, -180.387, -0.712105, -29.4535, -94.1301, 0.00114863, 0.000367214, -0.00271752, 0.000638143, 0.000638143, 0.000638143
